"sr_no","sem","term","term_id","flg","exam_type","exam","did","sub_code","online","stud_count","exam_date","division","slot","start_time","end_time","en_on","en_by","ip"
"2437","5","EVEN 2025","47","0","3","End Semester Exam","2","ME233108","0","8","2026-04-29",,"4","14:00:00","18:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2438","5","EVEN 2025","47","0","3","End Semester Exam","2","ME233207","0","1","2026-05-05",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2439","3","EVEN 2025","47","0","3","End Semester Exam","2","ME6213","0","1","2026-04-30",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2440","4","EVEN 2025","47","0","3","End Semester Exam","2","ME6215","0","2","2026-05-12",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2441","6","EVEN 2025","47","0","3","End Semester Exam","2","ME6414","0","2","2026-04-29",,"4","14:00:00","18:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2442","4","EVEN 2025","47","0","3","End Semester Exam","2","ME6417","0","2","2026-04-27",,"1","10:00:00","13:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2443","6","EVEN 2025","47","0","3","End Semester Exam","2","ME6512","0","1","2026-05-11",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2444","5","EVEN 2025","47","0","3","End Semester Exam","2","ME6516","0","1","2026-04-28",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2445","6","EVEN 2025","47","0","3","End Semester Exam","2","ME6519","0","1","2026-05-05",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2446","2","EVEN 2025","47","0","3","End Semester Exam","4","EE21224","0","1","2026-05-08",,"1","10:00:00","13:00:00","2026-03-30 02:14:17","GPNCOE","117.254.196.95"
"2454","5","EVEN 2025","47","0","3","End Semester Exam","6","CM21534","0","1","2026-05-07",,"3","14:00:00","17:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2455","5","EVEN 2025","47","0","3","End Semester Exam","6","CM21537","0","1","2026-04-27",,"1","10:00:00","13:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2456","1","EVEN 2025","47","0","3","End Semester Exam","6","CM231101","1","4","2026-05-02","A","3","15:00:00","17:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2457","2","EVEN 2025","47","0","3","End Semester Exam","6","CM231102","1","69","2026-05-11","A","2","12:30:00","14:30:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2458","1","EVEN 2025","47","0","3","End Semester Exam","6","CM231110","0","7","2026-05-06",,"1","10:00:00","13:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2459","4","EVEN 2025","47","0","3","End Semester Exam","6","CM231302","1","71","2026-05-13","A","2","12:30:00","14:30:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2460","1","EVEN 2025","47","0","3","End Semester Exam","6","CM231401","0","6","2026-04-23",,"3","14:00:00","17:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2461","2","EVEN 2025","47","0","3","End Semester Exam","6","CM231402","0","69","2026-04-27",,"3","14:00:00","17:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2462","2","EVEN 2025","47","0","3","End Semester Exam","6","CM231404","0","70","2026-04-24",,"1","10:00:00","13:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
